FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
M11050405	M11050405	-0.0386079	0.0825238	-0.0138178	-0.00335498	0.00623736	-0.0298906	0.0994945	-0.0141298	-0.0310229	0.0064546
M11052812	M11052812	-0.0386989	0.0913662	0.00663069	0.0177788	-0.00769967	0.0287496	-0.026693	-0.0249748	0.00395684	-0.0744458
M11050512	M11050512	-0.0291624	0.0631124	-0.0114151	-0.01452	0.00760076	-0.0266245	-0.026454	-0.0386998	0.0131348	0.00744941
M11061602	M11061602	-0.0300817	0.0545117	0.000993258	-0.000964086	0.00283553	-0.0439906	0.0434836	-0.032849	-0.0864316	-0.00803455
M11052806	M11052806	-0.0064856	0.0699351	-0.0137339	-0.0147772	-0.00886958	0.0346069	-0.038505	-0.0210434	0.0582888	-0.0902837
M11051804	M11051804	-0.0176524	0.0604775	-0.0117284	0.00806879	-0.0302557	-0.0582366	0.0174677	0.0295428	0.0222544	-0.00145402
M11060915	M11060915	-0.0268706	0.0363375	0.00263981	-0.0176392	-0.00492264	0.000587261	0.0844503	-0.0135089	0.0135164	0.0214577
M11050513	M11050513	-0.0332114	0.0773094	0.000629	-0.000334301	-0.0137401	0.00192284	-0.0364902	0.0114906	0.00846388	-0.00248863
M11051802	M11051802	-0.0391848	0.0739199	0.0108705	-0.0132924	-0.0360488	-0.0195756	0.0719261	0.0051064	0.0124208	0.00317987
M11062215	M11062215	-0.0351383	0.0888511	0.0199664	-0.00726802	-0.0081215	0.00970051	-0.0202566	-0.0396178	0.0317428	-0.0320044
M11050409	M11050409	-0.0375501	0.0963086	0.0112634	-0.00744	0.013827	0.051187	-0.063454	-0.0124742	0.0197525	0.0103034
M11072704	M11072704	-0.0395622	0.0810332	-0.00573936	0.00804918	-0.0313702	0.00334861	-0.0432722	0.0249931	0.0020143	0.0389775
M11061609	M11061609	-0.0374121	0.0840877	-0.0116484	0.00716773	-0.0119326	-0.0323958	0.154315	0.0585901	-0.0472963	0.0497876
M11052508	M11052508	-0.038754	0.0954421	-0.00623806	-0.0129615	0.0240097	0.0204216	-0.0597369	0.0178996	0.0374461	-0.0409002
M11050502	M11050502	-0.0178853	0.0520014	0.00999934	0.0170194	-0.0217088	-0.0228812	-0.033585	0.00260155	0.0401781	-0.0373926
M11050401	M11050401	-0.015625	0.0558668	0.00123163	0.0132339	-0.0076894	0.0143099	0.0540187	-0.0343756	-0.0760052	-0.0193947
M11052503	M11052503	-0.0207455	0.0462855	0.0132722	-0.0164815	0.0254	-0.0164416	0.00556667	0.0533781	-0.012271	0.0320782
M11051109	M11051109	-0.039659	0.099925	0.014087	-0.00539694	0.0378493	0.0270178	-0.0860676	-0.0254723	0.0268843	-0.00803659
M11052504	M11052504	-0.0387286	0.0976179	0.00400184	-0.000194404	0.00712866	0.0344711	-0.0368439	-0.0212257	0.074513	-0.0250634
M11051112	M11051112	-0.0309572	0.0802133	0.00275601	-0.00831645	0.0414693	-0.00137219	-0.0536644	-0.0175089	0.010218	-0.0331078
M11072308	M11072308	-0.0302418	0.0781334	-0.0173507	-0.00126351	-0.00906698	-0.00543615	-0.0158344	0.00739466	0.0159309	-0.0536508
M11052502	M11052502	-0.0353182	0.0806049	0.0319696	0.0171064	-0.00443722	-0.0128693	-0.0239645	-0.00793422	0.0154897	0.00417057
M11052509	M11052509	-0.0384198	0.0847092	0.00690719	0.000874884	0.000369744	-0.0172021	-0.00693413	-0.0013132	0.0144631	-0.00856872
M11050414	M11050414	-0.0398062	0.0850166	-0.00480099	0.02278	-0.0104679	0.0252643	0.0262392	0.00400966	-0.0345076	0.0265842
M11050515	M11050515	-0.0175061	0.0648928	-0.00168145	-0.0136429	-0.00623881	0.0179908	0.00754473	0.056422	0.0311925	0.0255108
M11052814	M11052814	-0.0366074	0.0948845	0.00594402	0.00822809	-0.0164277	0.0293493	-0.03231	0.00366028	0.0207683	-0.0790876
M11052811	M11052811	-0.033395	0.085696	-0.010606	-0.00685339	0.033367	0.0273885	-0.0331531	-0.00383891	0.0376541	0.0327372
M11051910	M11051910	-0.04061	0.0533806	0.00324497	-0.0240628	-0.000458696	0.017491	-0.0169346	-0.0207613	0.0468053	-0.0543883
M11052813	M11052813	-0.039354	0.100088	0.0125415	0.0145925	-0.00208216	-0.0159542	-0.0325379	0.00882056	-0.0165409	-0.0125441
M11050408	M11050408	-0.0385012	0.0977152	0.00490663	0.00221187	-0.0103543	0.037009	-0.0681389	-0.012816	0.0225265	-0.047078
M11051205	M11051205	-0.0403864	0.0860541	-0.00856705	0.00157345	0.0236199	0.0115681	-0.0094928	0.00539335	0.0292764	-0.0177062
M11051906	M11051906	-0.0360863	0.0874336	-0.0279628	-0.00111711	-0.0120281	0.0369622	0.00465328	0.0319165	0.0232378	-0.00345812
M11060913	M11060913	-0.0350148	0.0797729	-0.00127693	0.000595031	0.00660287	-0.0267662	-0.0152323	0.0173474	0.0108902	-0.0036596
M11051908	M11051908	-0.0383339	0.0647901	0.0156592	-1.37072e-05	-0.0333127	0.00750462	0.00674867	0.0095395	-0.00696708	0.0288308
M11051206	M11051206	-0.0385486	0.0921612	0.0161811	-0.00794619	0.0199206	0.0168067	-0.0634703	-0.017708	0.126745	-0.052866
M11051807	M11051807	-0.0256489	0.0689476	-0.00789456	-0.0125762	0.0344254	0.0134714	-0.0462535	-0.0292521	0.0279859	-0.0559196
M11050509	M11050509	-0.0101137	0.0566841	0.0159744	-0.0405263	-0.0155266	-0.0264418	-0.0020774	0.035448	-0.12383	0.020123
M11052801	M11052801	-0.0151997	0.0519541	0.0134029	-0.00905063	-0.0116011	-0.0367521	0.0391602	0.00734743	-0.0395192	-0.026304
M11072305	M11072305	-0.0406728	0.0950413	-0.017628	-0.00542472	0.0125901	0.0216073	-0.0601339	-0.0303015	0.0290255	-0.0231743
M11062511	M11062511	-0.0329582	0.0811926	-0.0028772	0.00319165	-0.00814489	-0.0303361	0.00278578	0.0261612	-0.0255528	0.0283938
